stage_id,student_id,entreprise_id,type_stage,filiere_id,semestre_id,date_debut,date_fin,encadrant_nom,grade,status
STG00049,STU00055,ENT0015,OBSERVATION,,2,2024-01-14,2024-01-13,Salma Alami,14.97,TERMINE
STG00050,STU00056,ENT0005,OBSERVATION,,2,2024-01-14,2024-01-13,Ahmed Alami,15.82,TERMINE
STG00051,STU00057,ENT0009,OBSERVATION,,2,2024-01-14,2024-01-13,Ali Rami,15.2,TERMINE
STG00052,STU00058,ENT0020,OBSERVATION,,2,2024-01-14,2024-01-13,Youssef Fassi,16.45,TERMINE
STG00053,STU00059,ENT0009,OBSERVATION,,2,2024-01-14,2024-01-13,Amina Idrissi,15.6,TERMINE
STG00054,STU00061,ENT0005,OBSERVATION,,2,2024-01-14,2024-01-13,Yasmine Rami,17.85,TERMINE
STG00055,STU00062,ENT0009,OBSERVATION,,2,2024-01-14,2024-01-13,Aisha Rami,16.82,TERMINE
STG00056,STU00063,ENT0005,OBSERVATION,,2,2024-01-14,2024-01-13,Amina Rami,14.53,TERMINE
STG00057,STU00065,ENT0008,OBSERVATION,,2,2024-01-14,2024-01-13,Khadija Rami,14.39,TERMINE
STG00058,STU00066,ENT0005,OBSERVATION,,2,2024-01-14,2024-01-13,Ali Mansouri,15.17,TERMINE
STG00059,STU00067,ENT0015,OBSERVATION,,2,2024-01-14,2024-01-13,Mohamed Alami,16.46,TERMINE
STG00060,STU00068,ENT0005,OBSERVATION,,2,2024-01-14,2024-01-13,Youssef Tazi,17.57,TERMINE
STG00061,STU00069,ENT0010,OBSERVATION,,2,2024-01-14,2024-01-13,Ahmed Tazi,15.39,TERMINE
STG00062,STU00070,ENT0020,OBSERVATION,,2,2024-01-14,2024-01-13,Nour Fassi,15.25,TERMINE
STG00063,STU00071,ENT0018,OBSERVATION,,2,2024-01-14,2024-01-13,Fatima Sabri,17.99,TERMINE
STG00064,STU00072,ENT0009,OBSERVATION,,2,2024-01-14,2024-01-13,Nour Benali,14.46,TERMINE
STG00065,STU00073,ENT0002,OBSERVATION,,2,2024-01-14,2024-01-13,Mehdi Chakir,17.53,TERMINE
STG00066,STU00074,ENT0005,OBSERVATION,,2,2024-01-14,2024-01-13,Fatima Berrada,15.54,TERMINE
STG00067,STU00075,ENT0015,OBSERVATION,,2,2024-01-14,2024-01-13,Khadija Berrada,17.59,TERMINE
STG00068,STU00076,ENT0008,OBSERVATION,,2,2024-01-14,2024-01-13,Aisha Berrada,14.04,TERMINE
STG00069,STU00077,ENT0005,OBSERVATION,,2,2024-01-14,2024-01-13,Mohamed Benjelloun,17.12,TERMINE
STG00070,STU00078,ENT0009,OBSERVATION,,2,2024-01-14,2024-01-13,Mohamed Naciri,14.12,TERMINE
STG00071,STU00079,ENT0014,OBSERVATION,,2,2024-01-14,2024-01-13,Yasmine Alami,16.05,TERMINE
STG00072,STU00080,ENT0014,OBSERVATION,,2,2024-01-14,2024-01-13,Nour Sabri,16.71,TERMINE
STG00073,STU00081,ENT0017,OBSERVATION,,2,2024-01-14,2024-01-13,Aisha Fassi,14.98,TERMINE
STG00074,STU00083,ENT0019,OBSERVATION,,2,2024-01-14,2024-01-13,Fatima Rami,15.58,TERMINE
STG00075,STU00084,ENT0011,OBSERVATION,,2,2024-01-14,2024-01-13,Nour Chakir,15.65,TERMINE
STG00076,STU00085,ENT0019,OBSERVATION,,2,2024-01-14,2024-01-13,Omar Idrissi,17.8,TERMINE
STG00077,STU00086,ENT0015,OBSERVATION,,2,2024-01-14,2024-01-13,Mehdi Idrissi,16.73,TERMINE
STG00078,STU00087,ENT0004,OBSERVATION,,2,2024-01-14,2024-01-13,Khadija Sabri,15.7,TERMINE
STG00079,STU00088,ENT0012,OBSERVATION,,2,2024-01-14,2024-01-13,Youssef Sabri,15.57,TERMINE
STG00080,STU00089,ENT0001,OBSERVATION,,2,2024-01-14,2024-01-13,Hassan El Amrani,16.55,TERMINE
STG00081,STU00090,ENT0002,OBSERVATION,,2,2024-01-14,2024-01-13,Ali Idrissi,17.94,TERMINE
STG00082,STU00091,ENT0012,OBSERVATION,,2,2024-01-14,2024-01-13,Amina El Amrani,16.74,TERMINE
STG00083,STU00093,ENT0004,OBSERVATION,,2,2024-01-14,2024-01-13,Fatima Benjelloun,14.0,TERMINE
STG00084,STU00094,ENT0017,OBSERVATION,,2,2024-01-14,2024-01-13,Karim El Amrani,16.19,TERMINE
STG00085,STU00095,ENT0012,OBSERVATION,,2,2024-01-14,2024-01-13,Nour El Amrani,14.21,TERMINE
STG00086,STU00096,ENT0001,OBSERVATION,,2,2024-01-14,2024-01-13,Mohamed Alami,17.46,TERMINE
STG00087,STU00097,ENT0009,OBSERVATION,,2,2024-01-14,2024-01-13,Karim Tazi,14.77,TERMINE
STG00088,STU00098,ENT0011,OBSERVATION,,2,2024-01-14,2024-01-13,Yasmine Idrissi,15.7,TERMINE
STG00089,STU00099,ENT0019,OBSERVATION,,2,2024-01-14,2024-01-13,Yasmine Chakir,14.31,TERMINE
STG00090,STU00100,ENT0018,OBSERVATION,,2,2024-01-14,2024-01-13,Ali Mansouri,14.08,TERMINE
STG00091,STU00101,ENT0004,OBSERVATION,,2,2024-01-14,2024-01-13,Nour Sabri,17.89,TERMINE
STG00092,STU00102,ENT0020,OBSERVATION,,2,2024-01-14,2024-01-13,Nour Rami,17.37,TERMINE
STG00093,STU00103,ENT0008,OBSERVATION,,2,2024-01-14,2024-01-13,Hassan Benali,15.0,TERMINE
STG00094,STU00104,ENT0004,OBSERVATION,,2,2024-01-14,2024-01-13,Ali Idrissi,15.37,TERMINE
STG00095,STU00106,ENT0010,OBSERVATION,,2,2024-01-14,2024-01-13,Omar Tazi,14.45,TERMINE
STG00096,STU00107,ENT0016,OBSERVATION,,2,2024-01-14,2024-01-13,Ali Alami,16.42,TERMINE
STG00097,STU00108,ENT0001,OBSERVATION,,2,2024-01-14,2024-01-13,Youssef Naciri,17.32,TERMINE
STG00098,STU00109,ENT0009,OBSERVATION,,2,2024-01-14,2024-01-13,Amina Sabri,14.23,TERMINE
STG00099,STU00111,ENT0005,OBSERVATION,,2,2024-01-14,2024-01-13,Khadija Sabri,16.13,TERMINE
STG00100,STU00112,ENT0012,OBSERVATION,,2,2024-01-14,2024-01-13,Ahmed Idrissi,14.48,TERMINE
STG00101,STU00113,ENT0004,OBSERVATION,,2,2024-01-14,2024-01-13,Amina Berrada,15.66,TERMINE
STG00102,STU00114,ENT0003,OBSERVATION,,2,2024-01-14,2024-01-13,Omar Mansouri,15.54,TERMINE
STG00103,STU00115,ENT0011,OBSERVATION,,2,2024-01-14,2024-01-13,Aisha Naciri,17.85,TERMINE
STG00104,STU00116,ENT0015,OBSERVATION,,2,2024-01-14,2024-01-13,Khadija Fassi,14.43,TERMINE
STG00105,STU00117,ENT0003,OBSERVATION,,2,2024-01-14,2024-01-13,Salma Idrissi,14.9,TERMINE
STG00106,STU00119,ENT0003,OBSERVATION,,2,2024-01-14,2024-01-13,Youssef Fassi,15.37,TERMINE
STG00107,STU00120,ENT0019,OBSERVATION,,2,2024-01-14,2024-01-13,Mohamed Chakir,14.06,TERMINE
STG00108,STU00122,ENT0006,OBSERVATION,,2,2024-01-14,2024-01-13,Ali Chakir,14.75,TERMINE
STG00109,STU00125,ENT0009,OBSERVATION,,2,2024-01-14,2024-01-13,Amina Rami,14.29,TERMINE
STG00110,STU00126,ENT0007,OBSERVATION,,2,2024-01-14,2024-01-13,Karim Rami,16.05,TERMINE
STG00111,STU00127,ENT0007,OBSERVATION,,2,2024-01-14,2024-01-13,Mehdi Rami,17.59,TERMINE
STG00112,STU00128,ENT0012,OBSERVATION,,2,2024-01-14,2024-01-13,Nour Sabri,15.44,TERMINE
STG00113,STU00129,ENT0008,OBSERVATION,,2,2024-01-14,2024-01-13,Karim Naciri,15.14,TERMINE
STG00114,STU00130,ENT0018,OBSERVATION,,2,2024-01-14,2024-01-13,Mehdi Benali,14.9,TERMINE
STG00115,STU00131,ENT0013,OBSERVATION,,2,2024-01-14,2024-01-13,Salma Tazi,17.82,TERMINE
STG00116,STU00132,ENT0012,OBSERVATION,,2,2024-01-14,2024-01-13,Amina Idrissi,15.97,TERMINE
STG00117,STU00133,ENT0003,OBSERVATION,,2,2024-01-14,2024-01-13,Hassan Chakir,17.95,TERMINE
STG00118,STU00134,ENT0016,OBSERVATION,,2,2024-01-14,2024-01-13,Nour El Amrani,16.54,TERMINE
STG00119,STU00135,ENT0010,OBSERVATION,,2,2024-01-14,2024-01-13,Aisha Mansouri,14.43,TERMINE
STG00120,STU00136,ENT0019,OBSERVATION,,2,2024-01-14,2024-01-13,Mehdi Benali,16.19,TERMINE
STG00121,STU00137,ENT0004,OBSERVATION,,2,2024-01-14,2024-01-13,Fatima Fassi,14.28,TERMINE
STG00122,STU00138,ENT0007,OBSERVATION,,2,2024-01-14,2024-01-13,Youssef Benjelloun,15.54,TERMINE
STG00123,STU00139,ENT0007,OBSERVATION,,2,2024-01-14,2024-01-13,Fatima Sabri,14.38,TERMINE
STG00124,STU00140,ENT0013,OBSERVATION,,2,2024-01-14,2024-01-13,Ahmed Idrissi,17.85,TERMINE
STG00125,STU00141,ENT0009,OBSERVATION,,2,2024-01-14,2024-01-13,Ahmed Benjelloun,15.54,TERMINE
STG00126,STU00142,ENT0010,OBSERVATION,,2,2024-01-14,2024-01-13,Hassan Alami,14.83,TERMINE
STG00127,STU00143,ENT0010,OBSERVATION,,2,2024-01-14,2024-01-13,Karim Mansouri,16.49,TERMINE
STG00128,STU00144,ENT0007,OBSERVATION,,2,2024-01-14,2024-01-13,Salma Rami,17.23,TERMINE
STG00129,STU00145,ENT0005,OBSERVATION,,2,2024-01-14,2024-01-13,Amina El Amrani,17.22,TERMINE
STG00130,STU00146,ENT0012,OBSERVATION,,2,2024-01-14,2024-01-13,Fatima Naciri,16.16,TERMINE
STG00131,STU00147,ENT0007,OBSERVATION,,2,2024-01-14,2024-01-13,Mehdi Benjelloun,16.85,TERMINE
STG00132,STU00148,ENT0010,OBSERVATION,,2,2024-01-14,2024-01-13,Hassan Fassi,17.04,TERMINE
STG00133,STU00149,ENT0002,OBSERVATION,,2,2024-01-14,2024-01-13,Omar Tazi,17.11,TERMINE
STG00134,STU00150,ENT0016,OBSERVATION,,2,2024-01-14,2024-01-13,Yasmine Benjelloun,17.06,TERMINE
STG00135,STU00151,ENT0010,OBSERVATION,,2,2024-01-14,2024-01-13,Aisha Sabri,15.29,TERMINE
STG00136,STU00152,ENT0020,OBSERVATION,,2,2024-01-14,2024-01-13,Mohamed Chakir,16.06,TERMINE
STG00137,STU00153,ENT0005,OBSERVATION,,2,2024-01-14,2024-01-13,Amina Alami,15.19,TERMINE
STG00138,STU00154,ENT0012,OBSERVATION,,2,2024-01-14,2024-01-13,Karim Naciri,15.86,TERMINE
STG00139,STU00155,ENT0010,OBSERVATION,,2,2024-01-14,2024-01-13,Fatima Rami,15.9,TERMINE
STG00140,STU00156,ENT0014,OBSERVATION,,2,2024-01-14,2024-01-13,Hassan Naciri,17.8,TERMINE
STG00141,STU00157,ENT0019,OBSERVATION,,2,2024-01-14,2024-01-13,Ahmed Naciri,14.13,TERMINE
STG00142,STU00158,ENT0015,OBSERVATION,,2,2024-01-14,2024-01-13,Yasmine Tazi,16.01,TERMINE
STG00143,STU00159,ENT0004,OBSERVATION,,2,2024-01-14,2024-01-13,Hassan Chakir,17.21,TERMINE
STG00144,STU00160,ENT0008,OBSERVATION,,2,2024-01-14,2024-01-13,Mehdi Benjelloun,15.39,TERMINE
STG00145,STU00161,ENT0007,OBSERVATION,,2,2024-01-14,2024-01-13,Mohamed Idrissi,15.94,TERMINE
STG00146,STU00162,ENT0005,OBSERVATION,,2,2024-01-14,2024-01-13,Mohamed Berrada,17.52,TERMINE
STG00147,STU00164,ENT0002,OBSERVATION,,2,2024-01-14,2024-01-13,Hassan Chakir,17.98,TERMINE
STG00148,STU00165,ENT0007,OBSERVATION,,2,2024-01-14,2024-01-13,Yasmine El Amrani,15.1,TERMINE
STG00149,STU00166,ENT0008,OBSERVATION,,2,2024-01-14,2024-01-13,Omar Sabri,14.28,TERMINE
STG00150,STU00167,ENT0016,OBSERVATION,,2,2024-01-14,2024-01-13,Yasmine Fassi,14.23,TERMINE
STG00151,STU00168,ENT0015,OBSERVATION,,2,2024-01-14,2024-01-13,Ahmed Fassi,14.2,TERMINE
STG00152,STU00170,ENT0018,OBSERVATION,,2,2024-01-14,2024-01-13,Nour Rami,15.9,TERMINE
STG00153,STU00171,ENT0011,OBSERVATION,,2,2024-01-14,2024-01-13,Amina Rami,15.2,TERMINE
STG00154,STU00174,ENT0016,OBSERVATION,,2,2024-01-14,2024-01-13,Ali El Amrani,15.57,TERMINE
STG00155,STU00175,ENT0002,OBSERVATION,,2,2024-01-14,2024-01-13,Omar El Amrani,14.5,TERMINE
STG00156,STU00176,ENT0003,OBSERVATION,,2,2024-01-14,2024-01-13,Salma Rami,15.15,TERMINE
STG00157,STU00177,ENT0008,OBSERVATION,,2,2024-01-14,2024-01-13,Nour Tazi,16.99,TERMINE
STG00158,STU00178,ENT0006,OBSERVATION,,2,2024-01-14,2024-01-13,Karim Mansouri,14.49,TERMINE
STG00159,STU00180,ENT0008,OBSERVATION,,2,2024-01-14,2024-01-13,Mohamed Tazi,15.23,TERMINE
STG00160,STU00182,ENT0011,OBSERVATION,,2,2024-01-14,2024-01-13,Yasmine Benali,16.44,TERMINE
STG00161,STU00183,ENT0014,OBSERVATION,,2,2024-01-14,2024-01-13,Fatima Fassi,17.57,TERMINE
STG00162,STU00184,ENT0001,OBSERVATION,,2,2024-01-14,2024-01-13,Ali Tazi,15.71,TERMINE
STG00163,STU00185,ENT0017,OBSERVATION,,2,2024-01-14,2024-01-13,Youssef Tazi,16.78,TERMINE
STG00164,STU00186,ENT0003,OBSERVATION,,2,2024-01-14,2024-01-13,Ahmed Fassi,14.14,TERMINE
STG00165,STU00187,ENT0005,OBSERVATION,,2,2024-01-14,2024-01-13,Karim Benali,17.62,TERMINE
STG00166,STU00188,ENT0012,OBSERVATION,,2,2024-01-14,2024-01-13,Fatima Idrissi,17.86,TERMINE
STG00167,STU00190,ENT0010,OBSERVATION,,2,2024-01-14,2024-01-13,Salma Alami,17.07,TERMINE
STG00168,STU00191,ENT0012,OBSERVATION,,2,2024-01-14,2024-01-13,Yasmine Chakir,16.15,TERMINE
STG00169,STU00192,ENT0007,OBSERVATION,,2,2024-01-14,2024-01-13,Fatima Alami,14.69,TERMINE
STG00170,STU00194,ENT0001,OBSERVATION,,2,2024-01-14,2024-01-13,Amina Rami,14.71,TERMINE
STG00171,STU00196,ENT0020,OBSERVATION,,2,2024-01-14,2024-01-13,Ahmed El Amrani,14.53,TERMINE
STG00172,STU00197,ENT0016,OBSERVATION,,2,2024-01-14,2024-01-13,Youssef El Amrani,15.6,TERMINE
STG00173,STU00198,ENT0013,OBSERVATION,,2,2024-01-14,2024-01-13,Aisha Naciri,17.8,TERMINE
STG00174,STU00199,ENT0003,OBSERVATION,,2,2024-01-14,2024-01-13,Nour Rami,14.56,TERMINE
STG00175,STU00200,ENT0014,OBSERVATION,,2,2024-01-14,2024-01-13,Nour Alami,17.13,TERMINE
STG00176,STU00201,ENT0014,OBSERVATION,,2,2024-01-14,2024-01-13,Salma Mansouri,14.04,TERMINE
STG00177,STU00202,ENT0008,OBSERVATION,,2,2024-01-14,2024-01-13,Khadija Chakir,17.81,TERMINE
STG00178,STU00203,ENT0013,OBSERVATION,,2,2024-01-14,2024-01-13,Aisha Naciri,16.53,TERMINE
STG00179,STU00204,ENT0002,OBSERVATION,,2,2024-01-14,2024-01-13,Khadija Idrissi,16.36,TERMINE
STG00180,STU00205,ENT0015,OBSERVATION,,2,2024-01-14,2024-01-13,Mehdi Berrada,15.99,TERMINE
STG00181,STU00206,ENT0019,OBSERVATION,,2,2024-01-14,2024-01-13,Hassan Alami,14.47,TERMINE
STG00182,STU00207,ENT0009,OBSERVATION,,2,2024-01-14,2024-01-13,Karim Fassi,16.86,TERMINE
STG00183,STU00208,ENT0015,OBSERVATION,,2,2024-01-14,2024-01-13,Fatima Sabri,15.13,TERMINE
STG00184,STU00209,ENT0008,OBSERVATION,,2,2024-01-14,2024-01-13,Amina Sabri,16.1,TERMINE
STG00185,STU00211,ENT0013,OBSERVATION,,2,2024-01-14,2024-01-13,Youssef Fassi,14.92,TERMINE
STG00186,STU00213,ENT0016,OBSERVATION,,2,2024-01-14,2024-01-13,Nour Chakir,17.87,TERMINE
STG00187,STU00214,ENT0008,OBSERVATION,,2,2024-01-14,2024-01-13,Nour Alami,16.6,TERMINE
STG00188,STU00215,ENT0019,OBSERVATION,,2,2024-01-14,2024-01-13,Ahmed Benali,15.13,TERMINE
STG00189,STU00216,ENT0019,OBSERVATION,,2,2024-01-14,2024-01-13,Mehdi Fassi,17.88,TERMINE
STG00190,STU00217,ENT0001,OBSERVATION,,2,2024-01-14,2024-01-13,Ahmed Chakir,17.8,TERMINE
STG00191,STU00218,ENT0001,OBSERVATION,,2,2024-01-14,2024-01-13,Fatima Berrada,16.88,TERMINE
STG00192,STU00220,ENT0014,OBSERVATION,,2,2024-01-14,2024-01-13,Nour Fassi,15.51,TERMINE
STG00193,STU00221,ENT0018,OBSERVATION,,2,2024-01-14,2024-01-13,Amina Benjelloun,14.74,TERMINE
STG00194,STU00222,ENT0016,OBSERVATION,,2,2024-01-14,2024-01-13,Aisha Alami,16.49,TERMINE
STG00195,STU00223,ENT0015,OBSERVATION,,2,2024-01-14,2024-01-13,Omar Berrada,16.5,TERMINE
STG00196,STU00224,ENT0010,OBSERVATION,,2,2024-01-14,2024-01-13,Amina Benjelloun,16.64,TERMINE
STG00197,STU00225,ENT0016,OBSERVATION,,2,2024-01-14,2024-01-13,Hassan Fassi,14.74,TERMINE
STG00198,STU00226,ENT0012,OBSERVATION,,2,2024-01-14,2024-01-13,Mohamed Mansouri,14.59,TERMINE
STG00199,STU00229,ENT0006,OBSERVATION,,2,2024-01-14,2024-01-13,Salma Idrissi,14.03,TERMINE
STG00200,STU00230,ENT0016,OBSERVATION,,2,2024-01-14,2024-01-13,Nour Chakir,15.46,TERMINE
STG00201,STU00231,ENT0010,OBSERVATION,,2,2024-01-14,2024-01-13,Mohamed Benjelloun,15.34,TERMINE
STG00202,STU00232,ENT0005,OBSERVATION,,2,2024-01-14,2024-01-13,Mehdi Tazi,16.11,TERMINE
STG00203,STU00233,ENT0007,OBSERVATION,,2,2024-01-14,2024-01-13,Karim Alami,14.87,TERMINE
STG00204,STU00234,ENT0017,OBSERVATION,,2,2024-01-14,2024-01-13,Mehdi Idrissi,17.8,TERMINE
STG00205,STU00235,ENT0011,OBSERVATION,,2,2024-01-14,2024-01-13,Hassan Alami,15.08,TERMINE
STG00206,STU00237,ENT0010,OBSERVATION,,2,2024-01-14,2024-01-13,Khadija Benjelloun,17.91,TERMINE
STG00207,STU00238,ENT0015,OBSERVATION,,2,2024-01-14,2024-01-13,Hassan Tazi,16.08,TERMINE
STG00208,STU00239,ENT0020,OBSERVATION,,2,2024-01-14,2024-01-13,Fatima Fassi,17.52,TERMINE
STG00209,STU00240,ENT0003,OBSERVATION,,2,2024-01-14,2024-01-13,Yasmine Alami,17.06,TERMINE
STG00210,STU00241,ENT0009,OBSERVATION,,2,2024-01-14,2024-01-13,Fatima Benali,14.85,TERMINE
STG00211,STU00242,ENT0001,OBSERVATION,,2,2024-01-14,2024-01-13,Ahmed Alami,17.09,TERMINE
STG00212,STU00243,ENT0009,OBSERVATION,,2,2024-01-14,2024-01-13,Ali Naciri,16.53,TERMINE
STG00213,STU00244,ENT0011,OBSERVATION,,2,2024-01-14,2024-01-13,Youssef Rami,14.27,TERMINE
STG00214,STU00245,ENT0010,OBSERVATION,,2,2024-01-14,2024-01-13,Mehdi Sabri,17.38,TERMINE
STG00215,STU00247,ENT0015,OBSERVATION,,2,2024-01-14,2024-01-13,Omar Berrada,16.45,TERMINE
STG00216,STU00248,ENT0009,OBSERVATION,,2,2024-01-14,2024-01-13,Ali Benjelloun,15.98,TERMINE
STG00217,STU00249,ENT0016,OBSERVATION,,2,2024-01-14,2024-01-13,Yasmine Benali,15.97,TERMINE
STG00218,STU00250,ENT0020,OBSERVATION,,2,2024-01-14,2024-01-13,Karim Berrada,14.57,TERMINE
STG00219,STU00251,ENT0007,OBSERVATION,,2,2024-01-14,2024-01-13,Ahmed Rami,15.07,TERMINE
STG00220,STU00252,ENT0019,OBSERVATION,,2,2024-01-14,2024-01-13,Karim Sabri,15.5,TERMINE
STG00221,STU00254,ENT0011,OBSERVATION,,2,2024-01-14,2024-01-13,Ahmed Mansouri,14.72,TERMINE
STG00222,STU00255,ENT0013,OBSERVATION,,2,2024-01-14,2024-01-13,Amina Alami,16.95,TERMINE
STG00223,STU00256,ENT0007,OBSERVATION,,2,2024-01-14,2024-01-13,Karim Naciri,14.79,TERMINE
STG00224,STU00257,ENT0017,OBSERVATION,,2,2024-01-14,2024-01-13,Amina Chakir,17.65,TERMINE
STG00225,STU00258,ENT0019,OBSERVATION,,2,2024-01-14,2024-01-13,Aisha Benjelloun,15.23,TERMINE
STG00226,STU00259,ENT0005,OBSERVATION,,2,2024-01-14,2024-01-13,Aisha Benjelloun,17.32,TERMINE
STG00227,STU00260,ENT0016,OBSERVATION,,2,2024-01-14,2024-01-13,Khadija Berrada,16.65,TERMINE
STG00228,STU00261,ENT0015,OBSERVATION,,2,2024-01-14,2024-01-13,Amina Rami,15.11,TERMINE
STG00229,STU00262,ENT0010,OBSERVATION,,2,2024-01-14,2024-01-13,Aisha Chakir,15.5,TERMINE
STG00230,STU00263,ENT0017,OBSERVATION,,2,2024-01-14,2024-01-13,Mohamed Chakir,17.03,TERMINE
STG00231,STU00265,ENT0013,OBSERVATION,,2,2024-01-14,2024-01-13,Ali Mansouri,14.58,TERMINE
