StudentID;FullName;Gender;DateOfBirth;Level;Cycle;EnrollmentYear;Status;FiliereID;GroupID
STU00031;Yacine Ennibi;M         ;0027-07-30;AP1;PREPA;2024;Actif;7;1
STU00174;Jihane Rahmouni;F         ;0014-05-29;AP1;PREPA;2024;Actif;7;4
STU00032;Soundous Tabbakh;F         ;0009-11-27;AP1;PREPA;2024;Actif;7;2
STU00175;Houria Zouheir;F         ;0021-11-27;AP1;PREPA;2024;Actif;7;5
STU00033;Ikram Ait Ali;F         ;0007-01-27;AP1;PREPA;2024;Actif;7;3
STU00176;Houda Karim;F         ;0017-02-26;AP1;PREPA;2024;Actif;7;6
STU00034;Nora Nafie;F         ;0022-08-27;AP1;PREPA;2024;Actif;7;4
STU00177;Majda Abdelmajid;F         ;0015-10-27;AP1;PREPA;2024;Actif;7;7
STU00035;Larbi Boukhris;M         ;0023-04-29;AP1;PREPA;2024;Actif;7;5
STU00178;Laila Ben Abdelkader;F         ;0013-05-28;AP1;PREPA;2024;Actif;7;8
STU00036;Abdessamad Kabbaj;M         ;0023-08-27;AP1;PREPA;2024;Actif;7;6
STU00179;Meriem Karim;F         ;0031-02-27;AP1;PREPA;2024;Actif;7;9
STU00037;Hatim Amzil;M         ;0007-01-27;AP1;PREPA;2024;Actif;7;7
STU00180;Anas Slaoui;M         ;0022-05-29;AP1;PREPA;2024;Actif;7;10
STU00038;Badis Zaari;M         ;0013-10-27;AP1;PREPA;2024;Actif;7;8
STU00181;Nawal Essaidi;F         ;0026-02-27;AP1;PREPA;2024;Actif;7;1
STU00039;Nabil Zerhouni;M         ;0008-07-29;AP1;PREPA;2024;Actif;7;9
STU00182;Fadila Ait Moulay;F         ;0013-10-27;AP1;PREPA;2024;Actif;7;2
STU00040;Malak Chraibi;F         ;0031-02-27;AP1;PREPA;2024;Actif;7;10
STU00183;Maryam Cherkaoui;F         ;0028-06-28;AP1;PREPA;2024;Actif;7;3
STU00041;Abdelaziz Zemmouri;M         ;0024-01-27;AP1;PREPA;2024;Actif;7;1
STU00184;Mounir Berrada;M         ;0023-06-29;AP1;PREPA;2024;Actif;7;4
STU00042;Hicham Rahmani;M         ;0020-03-28;AP1;PREPA;2024;Actif;7;2
STU00185;Majda Ben Moussa;F         ;0034-04-29;AP1;PREPA;2024;Actif;7;5
STU00043;Yahya Mekouar;M         ;0029-05-28;AP1;PREPA;2024;Actif;7;3
STU00186;Halima Idrissi;F         ;0016-03-28;AP1;PREPA;2024;Actif;7;6
STU00044;Abdellatif Imghrane;M         ;0027-12-27;AP1;PREPA;2024;Actif;7;4
STU00187;Mina Abdelali;F         ;0011-11-27;AP1;PREPA;2024;Actif;7;7
STU00045;Ilham Nadir;F         ;0010-01-27;AP1;PREPA;2024;Actif;7;5
STU00188;Jamal Boudinar;M         ;0032-07-29;AP1;PREPA;2024;Actif;7;8
STU00046;Walid Filali;M         ;0006-11-27;AP1;PREPA;2024;Actif;7;6
STU00189;Saad Boukhari;M         ;0024-07-29;AP1;PREPA;2024;Actif;7;9
STU00047;Ghali Meknassi;M         ;0008-06-28;AP1;PREPA;2024;Actif;7;7
STU00190;Abdessamad Ben Slimane;M         ;0016-03-28;AP1;PREPA;2024;Actif;7;10
STU00048;Hakim Chraibi;M         ;0033-06-28;AP1;PREPA;2024;Actif;7;8
STU00191;Farid Ben Abdelkader;M         ;0031-02-27;AP1;PREPA;2024;Actif;7;1
STU00049;Latifa Moussaoui;F         ;0014-09-27;AP1;PREPA;2024;Actif;7;9
STU00192;Dalila Ezzahiri;F         ;0014-03-29;AP1;PREPA;2024;Actif;7;2
STU00050;Dounia Sekkat;F         ;0029-08-27;AP1;PREPA;2024;Actif;7;10
STU00193;Jamila Abdelkader;F         ;0033-10-27;AP1;PREPA;2024;Actif;7;3
STU00051;Nisrine Tahri;F         ;0032-01-27;AP1;PREPA;2024;Actif;7;1
STU00194;Siham Zerhouni;F         ;0008-03-28;AP1;PREPA;2024;Actif;7;4
STU00052;Hiba El Mansouri;F         ;0027-07-30;AP1;PREPA;2024;Actif;7;2
STU00195;Driss Tangaoui;M         ;0013-04-28;AP1;PREPA;2024;Actif;7;5
STU00053;Kahina Erraji;F         ;0020-12-26;AP1;PREPA;2024;Actif;7;3
STU00196;Houria El Bakali;F         ;0013-08-27;AP1;PREPA;2024;Actif;7;6
STU00054;Taoufik Zakkar;M         ;0010-04-29;AP1;PREPA;2024;Actif;7;4
STU00197;Adil Sqalli;M         ;0006-08-27;AP1;PREPA;2024;Actif;7;7
STU00055;Saad Guedira;M         ;0031-11-27;AP1;PREPA;2024;Actif;7;5
STU00198;Jamila Bouayad;F         ;0022-03-29;AP1;PREPA;2024;Actif;7;8
STU00056;Farid Ait Moulay;M         ;0023-09-27;AP1;PREPA;2024;Actif;7;6
STU00199;Nour Oudghiri;F         ;0028-10-26;AP1;PREPA;2024;Actif;7;9
STU00057;Rahma Erraji;F         ;0014-08-27;AP1;PREPA;2024;Actif;7;7
STU00200;Majda Abdelmajid;F         ;0027-07-30;AP1;PREPA;2024;Actif;7;10
STU00058;Nisrine Sqalli;F         ;0032-01-27;AP1;PREPA;2024;Actif;7;8
STU00201;Hicham Tami;M         ;0025-04-28;AP1;PREPA;2024;Actif;7;1
STU00059;Mehdi Yassine;M         ;0033-02-26;AP1;PREPA;2024;Actif;7;9
STU00202;Badr El Kadiri;M         ;0014-02-27;AP1;PREPA;2024;Actif;7;2
STU00060;Hamza Mabrouki;M         ;0011-09-27;AP1;PREPA;2024;Actif;7;10
STU00203;Imad Ben Amor;M         ;0007-07-30;AP1;PREPA;2024;Actif;7;3
STU00061;Nabila Bouizgarne;F         ;0033-09-27;AP1;PREPA;2024;Actif;7;1
STU00204;Zakaria Ezzahiri;M         ;0033-05-28;AP1;PREPA;2024;Actif;7;4
STU00062;Zineb Ait Brahim;F         ;0006-12-27;AP1;PREPA;2024;Actif;7;2
STU00205;Ilham Ben Ahmed;F         ;0029-01-26;AP1;PREPA;2024;Actif;7;5
STU00063;Safae Tahri;F         ;0016-01-27;AP1;PREPA;2024;Actif;7;3
STU00206;Majda Rahmouni;F         ;0022-10-27;AP1;PREPA;2024;Actif;7;6
STU00064;Majda Hadifi;F         ;0028-02-27;AP1;PREPA;2024;Actif;7;4
STU00207;Ilham El Bakali;F         ;0008-03-28;AP1;PREPA;2024;Actif;7;7
STU00065;Wafaa Ait Lahcen;F         ;0012-10-26;AP1;PREPA;2024;Actif;7;5
STU00208;Rachida Amzil;F         ;0015-03-29;AP1;PREPA;2024;Actif;7;8
STU00066;Ezzedine Ibrahimi;M         ;0008-02-27;AP1;PREPA;2024;Actif;7;6
STU00209;Hamza Agadiri;M         ;0033-04-28;AP1;PREPA;2024;Actif;7;9
STU00067;Zineb Naciri;F         ;0022-03-29;AP1;PREPA;2024;Actif;7;7
STU00210;Driss Bargach;M         ;0024-10-26;AP1;PREPA;2024;Actif;7;10
STU00068;Karim Mahmoudi;M         ;0033-07-29;AP1;PREPA;2024;Actif;7;8
STU00211;Driss Mekouar;M         ;0021-08-27;AP1;PREPA;2024;Actif;7;1
STU00069;Amine Ezzahiri;M         ;0027-07-30;AP1;PREPA;2024;Actif;7;9
STU00212;Widad Ait Taleb;F         ;0020-03-28;AP1;PREPA;2024;Actif;7;2
STU00070;Saad Ben Abdelkader;M         ;0014-03-29;AP1;PREPA;2024;Actif;7;10
STU00213;Samira Bouabid;F         ;0019-11-27;AP1;PREPA;2024;Actif;7;3
STU00071;Kamal El Bakali;M         ;0027-12-27;AP1;PREPA;2024;Actif;7;1
STU00214;Tamurt Balafrej;F         ;0033-07-29;AP1;PREPA;2024;Actif;7;4
STU00072;Safae Rbati;F         ;0029-04-28;AP1;PREPA;2024;Actif;7;2
STU00215;Jugurtha Zeroual;M         ;0022-05-29;AP1;PREPA;2024;Actif;7;5
STU00073;Manal Doukkali;F         ;0010-12-27;AP1;PREPA;2024;Actif;7;3
STU00216;Houria Lahlou;F         ;0008-02-27;AP1;PREPA;2024;Actif;7;6
STU00074;Kawtar Akdim;F         ;0006-07-30;AP1;PREPA;2024;Actif;7;4
STU00217;Samira Akdim;F         ;0016-10-26;AP1;PREPA;2024;Actif;7;7
STU00075;Fatna Zekri;F         ;0008-07-29;AP1;PREPA;2024;Actif;7;5
STU00218;Elias Rahmouni;M         ;0033-02-26;AP1;PREPA;2024;Actif;7;8
STU00076;Nasir Doukkali;M         ;0017-08-27;AP1;PREPA;2024;Actif;7;6
STU00219;Rafik Sekkat;M         ;0020-01-27;AP1;PREPA;2024;Actif;7;9
STU00077;Farid Tanjaoui;M         ;0011-10-27;AP1;PREPA;2024;Actif;7;7
STU00220;Anas Nadir;M         ;0025-11-27;AP1;PREPA;2024;Actif;7;10
STU00078;Kenza Touhami;F         ;0016-05-28;AP1;PREPA;2024;Actif;7;8
STU00221;Ghizlane Abdelkader;F         ;0012-06-28;AP1;PREPA;2024;Actif;7;1
STU00079;Said Znagui;M         ;0016-02-27;AP1;PREPA;2024;Actif;7;9
STU00222;Afaf Ben Youssef;F         ;0020-10-26;AP1;PREPA;2024;Actif;7;2
STU00080;Abdelilah Doukkali;M         ;0009-07-29;AP1;PREPA;2024;Actif;7;10
STU00223;Meriem Alaoui;F         ;0026-04-29;AP1;PREPA;2024;Actif;7;3
STU00081;Imad Amraoui;M         ;0013-03-28;AP1;PREPA;2024;Actif;7;1
STU00224;Abdelkader Ait Ali;M         ;0023-10-27;AP1;PREPA;2024;Actif;7;4
STU00082;Rim Bensmail;F         ;0034-04-29;AP1;PREPA;2024;Actif;7;2
STU00225;Adil Khalfi;M         ;0013-07-29;AP1;PREPA;2024;Actif;7;5
STU00083;Nora Boukhari;F         ;0033-10-27;AP1;PREPA;2024;Actif;7;3
STU00226;Jalil Ben Abdelkader;M         ;0033-04-28;AP1;PREPA;2024;Actif;7;6
STU00084;Hamza Sabbagh;M         ;0032-12-26;AP1;PREPA;2024;Actif;7;4
STU00085;Amina Alami;F         ;0030-11-27;AP1;PREPA;2024;Actif;7;5
STU00227;Munir Elmalki;M         ;0022-10-27;AP1;PREPA;2024;Actif;7;7
STU00086;Mahdi Doukkali;M         ;0029-08-27;AP1;PREPA;2024;Actif;7;6
STU00228;Hafsa Bouizgarne;F         ;0014-01-27;AP1;PREPA;2024;Actif;7;8
STU00087;Afaf Daoudi;F         ;0023-12-27;AP1;PREPA;2024;Actif;7;7
STU00229;Afaf Ben Othman;F         ;0012-12-26;AP1;PREPA;2024;Actif;7;9
STU00088;Ismail Sqalli;M         ;0011-05-29;AP1;PREPA;2024;Actif;7;8
STU00230;Amine Amazigh;M         ;0016-12-26;AP1;PREPA;2024;Actif;7;10
STU00089;Dihya Zoulikha;M         ;0011-02-27;AP1;PREPA;2024;Actif;7;9
STU00231;Hafida Alami;F         ;0029-10-27;AP1;PREPA;2024;Actif;7;1
STU00090;Najat Mansouri;F         ;0017-10-27;AP1;PREPA;2024;Actif;7;10
STU00232;Lalla Essaidi;F         ;0028-03-28;AP1;PREPA;2024;Actif;7;2
STU00091;Aylal Tangaoui;M         ;0014-04-29;AP1;PREPA;2024;Actif;7;1
STU00233;Wafaa Abdelkarim;F         ;0022-02-27;AP1;PREPA;2024;Actif;7;3
STU00092;Aylal Slaoui;M         ;0034-02-27;AP1;PREPA;2024;Actif;7;2
STU00234;Tanirt Zahraoui;F         ;0019-02-27;AP1;PREPA;2024;Actif;7;4
STU00093;Fatna Laghzaoui;F         ;0013-08-27;AP1;PREPA;2024;Actif;7;3
STU00235;Tamurt Ait Lahcen;F         ;0014-05-29;AP1;PREPA;2024;Actif;7;5
STU00094;Rayan Zeroual;M         ;0011-06-29;AP1;PREPA;2024;Actif;7;4
STU00236;Laila Sekkat;F         ;0007-12-27;AP1;PREPA;2024;Actif;7;6
STU00095;Zakiya Zeroual;F         ;0034-04-29;AP1;PREPA;2024;Actif;7;5
STU00237;Rayhana Boucetta;F         ;0032-05-28;AP1;PREPA;2024;Actif;7;7
STU00096;Imad Ait Ali;M         ;0010-05-29;AP1;PREPA;2024;Actif;7;6
STU00238;Tafukt Jennane;F         ;0011-04-29;AP1;PREPA;2024;Actif;7;8
STU00097;Nour Bouabid;F         ;0012-09-26;AP1;PREPA;2024;Actif;7;7
STU00239;Nour Ben Moussa;F         ;0025-02-26;AP1;PREPA;2024;Actif;7;9
STU00098;Tazerwalt Ouzzi;F         ;0013-09-27;AP1;PREPA;2024;Actif;7;8
STU00240;Fadila Abdelali;F         ;0022-07-30;AP1;PREPA;2024;Actif;7;10
STU00099;Rafik Ait Moulay;M         ;0016-12-26;AP1;PREPA;2024;Actif;7;9
STU00241;Aisha Ennibi;F         ;0019-08-27;AP1;PREPA;2024;Actif;7;1
STU00100;Malika Sbai;F         ;0017-10-27;AP1;PREPA;2024;Actif;7;10
STU00242;Samir Bouabid;M         ;0016-10-26;AP1;PREPA;2024;Actif;7;2
STU00101;Joumana Sadiki;F         ;0006-11-27;AP1;PREPA;2024;Actif;7;1
STU00243;Hayat El Bakali;F         ;0033-11-27;AP1;PREPA;2024;Actif;7;3
STU00102;Hicham Ait Said;M         ;0015-03-29;AP1;PREPA;2024;Actif;7;2
STU00244;Tifawt Makkaoui;F         ;0031-05-29;AP1;PREPA;2024;Actif;7;4
STU00103;Khalid Ezzahiri;M         ;0017-12-27;AP1;PREPA;2024;Actif;7;3
STU00245;Saida Sabri;F         ;0009-03-28;AP1;PREPA;2024;Actif;7;5
STU00104;Ikram Hassani;F         ;0010-02-27;AP1;PREPA;2024;Actif;7;4
STU00246;Larbi Bensmail;M         ;0013-10-27;AP1;PREPA;2024;Actif;7;6
STU00105;Aziza Ait Lahcen;F         ;0007-10-27;AP1;PREPA;2024;Actif;7;5
STU00247;Fayçal El Fassi;M         ;0029-04-28;AP1;PREPA;2024;Actif;7;7
STU00106;Fatima Nejjar;F         ;0028-02-27;AP1;PREPA;2024;Actif;7;6
STU00248;Fouad Ait Brahim;M         ;0016-05-28;AP1;PREPA;2024;Actif;7;8
STU00107;Badis Abderrahim;M         ;0027-07-30;AP1;PREPA;2024;Actif;7;7
STU00249;Hassan Atiki;M         ;0015-06-29;AP1;PREPA;2024;Actif;7;9
STU00108;Fatna Akdim;F         ;0034-04-29;AP1;PREPA;2024;Actif;7;8
STU00250;Tiwizi Abderrahim;F         ;0013-08-27;AP1;PREPA;2024;Actif;7;10
STU00109;Abdelmajid Boukhris;M         ;0016-02-27;AP1;PREPA;2024;Actif;7;9
STU00251;Amira Benslimane;F         ;0011-08-27;AP1;PREPA;2024;Actif;7;1
STU00110;Tamurt Rahmouni;F         ;0016-05-28;AP1;PREPA;2024;Actif;7;10
STU00252;Rachid Hazzam;M         ;0025-12-27;AP1;PREPA;2024;Actif;7;2
STU00111;Anas Amrani;M         ;0019-04-29;AP1;PREPA;2024;Actif;7;1
STU00253;Munir Zoulikha;M         ;0013-08-27;AP1;PREPA;2024;Actif;7;3
STU00112;Jaouad Zerhouni;M         ;0018-10-27;AP1;PREPA;2024;Actif;7;2
STU00254;Hajar Senhaji;F         ;0015-01-27;AP1;PREPA;2024;Actif;7;4
STU00113;Tarik Bouskour;M         ;0019-09-27;AP1;PREPA;2024;Actif;7;3
STU00255;Jalil Bouskour;M         ;0024-04-28;AP1;PREPA;2024;Actif;7;5
STU00114;Loubna Abdelkader;F         ;0028-01-27;AP1;PREPA;2024;Actif;7;4
STU00256;Samir Abdelkader;M         ;0024-11-26;AP1;PREPA;2024;Actif;7;6
STU00115;Rachid Boucetta;M         ;0012-05-28;AP1;PREPA;2024;Actif;7;5
STU00257;Hajar Erraji;F         ;0015-05-29;AP1;PREPA;2024;Actif;7;7
STU00116;Noureddine Moussaoui;M         ;0027-04-29;AP1;PREPA;2024;Actif;7;6
STU00258;Meryem Cherkaoui;F         ;0018-09-27;AP1;PREPA;2024;Actif;7;8
STU00117;Samira Znagui;F         ;0027-09-27;AP1;PREPA;2024;Actif;7;7
STU00259;Halima Maarofi;F         ;0024-12-26;AP1;PREPA;2024;Actif;7;9
STU00118;Jihane Zaari;F         ;0010-09-27;AP1;PREPA;2024;Actif;7;8
STU00260;Aziza Boutaleb;F         ;0016-05-28;AP1;PREPA;2024;Actif;7;10
STU00119;Hassan Sahraoui;M         ;0026-01-27;AP1;PREPA;2024;Actif;7;9
STU00120;Idriss Bennani;M         ;0025-04-28;AP1;PREPA;2024;Actif;7;10
STU00121;Abdellatif Chafik;M         ;0021-12-27;AP1;PREPA;2024;Actif;7;1
STU00122;Nisrine Ben Othman;F         ;0029-04-28;AP1;PREPA;2024;Actif;7;2
STU00123;Chakib Sbai;M         ;0030-07-30;AP1;PREPA;2024;Actif;7;3
STU00124;Jihane Ait Said;F         ;0023-05-29;AP1;PREPA;2024;Actif;7;4
STU00125;Yasmine Zaidi;F         ;0033-09-27;AP1;PREPA;2024;Actif;7;5
STU00126;Idriss Ben Hassan;M         ;0028-01-27;AP1;PREPA;2024;Actif;7;6
STU00127;Salwa Abdelkader;F         ;0033-03-28;AP1;PREPA;2024;Actif;7;7
STU00128;Kenza Yacoubi;F         ;0012-01-27;AP1;PREPA;2024;Actif;7;8
STU00129;Jamila Mesmoudi;F         ;0032-09-26;AP1;PREPA;2024;Actif;7;9
STU00130;Soundous Slaoui;F         ;0022-02-27;AP1;PREPA;2024;Actif;7;10
STU00131;Mounir Abdelali;M         ;0028-07-29;AP1;PREPA;2024;Actif;7;1
STU00132;Manal Haouzi;F         ;0016-11-26;AP1;PREPA;2024;Actif;7;2
STU00133;Abdelilah Ben Slimane;M         ;0018-09-27;AP1;PREPA;2024;Actif;7;3
STU00134;Abdelkader Fassi;M         ;0019-07-30;AP1;PREPA;2024;Actif;7;4
STU00135;Tanirt Sekkat;F         ;0020-01-27;AP1;PREPA;2024;Actif;7;5
STU00136;Othmane Amrani;M         ;0030-12-27;AP1;PREPA;2024;Actif;7;6
STU00137;Driss Zouaoui;M         ;0021-12-27;AP1;PREPA;2024;Actif;7;7
STU00138;Aylal Boukhris;M         ;0033-12-27;AP1;PREPA;2024;Actif;7;8
STU00139;Sabah Laghzaoui;F         ;0024-05-28;AP1;PREPA;2024;Actif;7;9
STU00140;Mourad Meknassi;M         ;0019-10-27;AP1;PREPA;2024;Actif;7;10
STU00141;Salma Ouazzani;F         ;0027-11-27;AP1;PREPA;2024;Actif;7;1
STU00142;Nawal Ait Brahim;F         ;0011-01-27;AP1;PREPA;2024;Actif;7;2
STU00261;Rafik Hamdaoui;M         ;0006-10-27;AP1;PREPA;2024;Actif;7;1
STU00262;Ikram Karim;M         ;0033-01-26;AP1;PREPA;2024;Actif;7;2
STU00263;Yamina Wakrim;F         ;0025-09-27;AP1;PREPA;2024;Actif;7;3
STU00264;Jihane Sabbagh;F         ;0025-09-27;AP1;PREPA;2024;Actif;7;4
STU00265;Joumana Mekouar;F         ;0031-05-29;AP1;PREPA;2024;Actif;7;5
STU00266;Larbi El Mansouri;M         ;0027-04-29;AP1;PREPA;2024;Actif;7;6
STU00267;Zakaria Tami;M         ;0008-01-27;AP1;PREPA;2024;Actif;7;7
STU00268;Nezha Ben Youssef;F         ;0015-07-30;AP1;PREPA;2024;Actif;7;8
STU00269;Rayhana Bennani;F         ;0012-08-26;AP1;PREPA;2024;Actif;7;9
STU00270;Yahya Semlali;M         ;0023-02-27;AP1;PREPA;2024;Actif;7;10
STU00271;Kenza Ait Brahim;F         ;0032-10-26;AP1;PREPA;2024;Actif;7;1
STU00272;Aicha Boutaleb;F         ;0034-05-29;AP1;PREPA;2024;Actif;7;2
STU00273;Fatima-Zahra El Kadiri;F         ;0009-01-26;AP1;PREPA;2024;Actif;7;3
STU00274;Chakib Tetuani;M         ;0030-04-29;AP1;PREPA;2024;Actif;7;4
STU00275;Meryem Yazidi;F         ;0018-02-27;AP1;PREPA;2024;Actif;7;5
STU00276;Rida Idrissi;M         ;0023-10-27;AP1;PREPA;2024;Actif;7;6
STU00277;Idriss Tanjaoui;M         ;0030-04-29;AP1;PREPA;2024;Actif;7;7
STU00278;Basma Zouiten;F         ;0018-04-29;AP1;PREPA;2024;Actif;7;8
STU00279;Taoufik Oudghiri;M         ;0007-01-27;AP1;PREPA;2024;Actif;7;9
STU00280;Fadwa Meknassi;F         ;0009-04-28;AP1;PREPA;2024;Actif;7;10
STU00281;Majda Cherkaoui;F         ;0020-04-28;AP1;PREPA;2024;Actif;7;1
STU00282;Abdelilah Berrada;M         ;0015-06-29;AP1;PREPA;2024;Actif;7;2
STU00283;Karima El Mansouri;F         ;0023-09-27;AP1;PREPA;2024;Actif;7;3
STU00284;Syphax Abdelmajid;M         ;0027-11-27;AP1;PREPA;2024;Actif;7;4
STU00285;Btissam Karim;F         ;0011-05-29;AP1;PREPA;2024;Actif;7;5
STU00286;Hayat El Fassi;F         ;0026-01-27;AP1;PREPA;2024;Actif;7;6
STU00287;Widad Hassani;F         ;0018-05-29;AP1;PREPA;2024;Actif;7;7
STU00288;Fouad Abdelkader;M         ;0033-09-27;AP1;PREPA;2024;Actif;7;8
STU00289;Fadila Bensmail;F         ;0023-11-27;AP1;PREPA;2024;Actif;7;9
STU00290;Zineb Hamdaoui;F         ;0012-10-26;AP1;PREPA;2024;Actif;7;10
STU00291;Idriss El Alami;M         ;0013-04-28;AP1;PREPA;2024;Actif;7;1
STU00292;Mehdi Tami;M         ;0013-11-27;AP1;PREPA;2024;Actif;7;2
STU00293;Brahim Rbati;M         ;0032-07-29;AP1;PREPA;2024;Actif;7;3
STU00294;Ghali Slaoui;M         ;0016-09-26;AP1;PREPA;2024;Actif;7;4
STU00295;Hatim Alami;M         ;0033-10-27;AP1;PREPA;2024;Actif;7;5
STU00296;Abdelaziz Sekkat;M         ;0031-10-27;AP1;PREPA;2024;Actif;7;6
STU00297;Ismail Jennane;M         ;0010-06-29;AP1;PREPA;2024;Actif;7;7
STU00298;Aylal Tijani;M         ;0024-09-26;AP1;PREPA;2024;Actif;7;8
STU00299;Khadija Ait Omar;F         ;0007-10-27;AP1;PREPA;2024;Actif;7;9
